Tipo_Empleo;Desglose;Rubro;III 2010;IV 2010;I 2011;II 2011;III 2011;IV 2011;I 2012;II 2012;III 2012;IV 2012;I 2013;II 2013;III 2013;IV 2013;I 2014;II 2014;III 2014;IV 2014;I 2015;II 2015;III 2015;IV 2015;I 2016;II 2016;III 2016;IV 2016;I 2017;II 2017;III 2017;IV 2017;I 2018;II 2018;III 2018;IV 2018;I 2019;II 2019;III 2019;IV 2019;I 2020
Asalariado;Total;Total;1424231;1453089;1386155;1363767;1435130;1513931;1560251;1531586;1528613;1525696;1488858;1493357;1493970;1561262;1570324;1554223;1567739;1550427;1543159;1564975;1573893;1546410;1541014;1505422;1503852;1561445;1569991;1556644;1560928;1522634;1519085;1600611;1604654;1615885;1623232;1569986;1569986;1596100;1616054
Asalariado;Estabilidad en el empleo;Empleo permanente;1281823;1276150;1279046;1245728;1325187;1363297;1361096;1347485;1385873;1367361;1347949;1367847;1362552;1414742;1407348;1439147;1453797;1419786;1384551;1454758;1447417;1396858;1372461;1373592;1379624;1411948;1405947;1429803;1465134;1410268;1404988;1509964;1515186;1500716;1496001;1469072;1469072;1489670;1502343
Asalariado;Estabilidad en el empleo;Empleo no permanente;74782;98257;57117;62807;52330;80530;102710;90939;75883;73054;63466;58489;52793;59178;62449;49626;51161;53010;87247;46603;44743;65523;90189;62235;56213;73262;82871;55470;44039;68271;70100;52447;46067;60899;71077;53324;53324;62347;65851
Asalariado;Estabilidad en el empleo;Actividad ocasional;67626;78682;49992;55232;57613;70104;96445;93162;66857;85281;77443;67021;78625;87342;100527;65450;62781;77631;71361;63614;81733;84029;78364;69595;68015;76235;81173;71371;51755;44095;43997;38200;43401;54270;56154;47590;47590;44083;47860
Asalariado;Condición de aseguramiento;No tiene seguro por trabajo;362300;363583;315315;305007;323661;346812;369535;385898;356373;383004;376353;368789;382223;398484;407072;359507;366568;392364;383077;362982;392642;357388;333416;331796;317737;357346;361246;353644;331566;296194;290342;366050;371818;370156;371746;340398;340398;363105;382427
Asalariado;Condición de aseguramiento;Tiene seguro por trabajo;1061931;1089506;1070840;1058760;1111469;1167119;1190716;1145688;1172240;1142692;1112505;1124568;1111747;1162778;1163252;1194716;1201171;1158063;1160082;1201993;1181251;1189022;1207598;1173626;1186115;1204099;1208745;1203000;1229362;1226440;1228743;1234561;1232836;1245729;1251486;1229588;1229588;1232995;1233627
Asalariado;Grupo de horas efectivas trabajadas;Menos de 15;88356;76081;52823;52533;51830;54390;70807;80697;86258;98038;95977;102531;116230;107578;104553;106176;118502;119105;96961;100066;117497;96630;86477;72005;69180;84515;80256;85280;86274;51972;56905;94456;90138;92671;106902;92588;92588;80673;94197
Asalariado;Grupo de horas efectivas trabajadas;De 15 a 39;218961;198445;183803;194265;185043;186115;201974;212671;208142;226535;235211;261132;252178;228275;220835;261193;252253;228599;236218;278868;229045;232184;254154;210091;218501;233854;215089;254774;265153;231898;212984;289935;276020;239100;259915;280827;280827;250701;264690
Asalariado;Grupo de horas efectivas trabajadas;De 40 a 48;623864;661408;714188;703124;758163;808470;863071;767840;801735;753359;723671;685744;693425;779786;773258;732751;745844;720901;735594;733546;727542;760623;789527;766931;795606;752560;817303;793145;790357;776907;805026;807549;839636;846827;862105;806012;806012;832996;857944
Asalariado;Grupo de horas efectivas trabajadas;Más de 48;488967;512358;432919;407170;439865;464956;423155;470378;432395;447656;433999;443892;432137;445549;471496;453389;451140;479469;473196;450721;498171;454472;409168;456207;419672;490355;456957;419418;417336;459709;443567;406526;398771;437287;394108;389438;389438;431608;398693
Asalariado;Grupo de horas efectivas trabajadas;No especificado;4083;4797;2422;6675;229;0;1244;0;83;108;0;58;0;74;182;714;0;2353;1190;1774;1638;2501;1688;188;893;161;386;4027;1808;2148;603;2145;89;0;202;1121;1121;122;530
Asalariado;Principales ramas de actividad;Comercio y reparación;266453;258327;253110;261965;259409;264492;274992;262657;268665;287162;274049;288682;290734;307194;288862;285631;281765;252882;246718;237686;267023;266912;278200;260726;262587;256706;267678;286699;252798;251130;270144;264844;259760;249716;247396;231016;231016;235728;246262
Asalariado;Principales ramas de actividad;Enseñanza y salud;165097;175717;174853;175805;169971;190631;187016;190118;212438;203118;203758;205697;207197;201409;197984;198988;194561;195460;184562;195263;185586;171345;170411;172331;193324;199334;204946;196168;208715;202343;188545;181174;183810;189105;183674;221038;221038;223332;212822
Asalariado;Principales ramas de actividad;Industria manufacturera;148768;136785;157899;154354;165362;165443;162455;158623;138018;143475;138336;142224;124535;141427;139975;152166;151054;154861;168279;167369;180842;162796;156804;138347;155968;172051;151451;155264;149272;169201;162913;176768;172654;182396;183982;152517;152517;169774;163617
Asalariado;Principales ramas de actividad;Otros;843913;882260;800293;771643;840388;893365;935788;920188;909492;891941;872715;856754;871504;911232;943503;917438;940359;947224;943600;964657;940442;945357;935599;934018;891973;933354;945916;918513;950143;899960;897483;977825;988430;994668;1008180;965415;965415;967266;993353
Asalariado;Rango de ingreso;Menos de 1 salario mínimo;286211;275131;215885;197634;264076;277430;290325;303104;311687;314220;322126;305197;308062;303035;313558;271681;309084;309962;312329;287603;322273;306060;275750;264191;249014;284744;279565;253772;231958;247307;244837;265574;256240;271463;262612;252159;252159;275959;236566
Asalariado;Rango de ingreso;De 1 a menos de 2 salarios mínimos;593429;590380;600765;503739;586385;650361;646155;652676;620333;637975;582533;572286;591360;659917;624463;637382;637660;642324;651663;673399;678372;670927;663923;686413;675271;683004;701028;705187;728811;713832;760252;750781;766997;767672;763372;739191;739191;762356;765087
Asalariado;Rango de ingreso;De 2 a menos de 5 salarios mínimos;315587;321783;288399;274250;309645;359069;359616;333900;352890;305365;345469;361865;366611;340389;355313;349350;348290;333155;323443;349597;317953;308147;339406;327096;328282;330050;319393;309056;306572;302179;262581;317792;310643;290761;314451;298303;298303;298335;330102
Asalariado;Rango de ingreso;5 salarios mínimos o más;109244;125804;111944;98016;99512;91534;115989;106981;102439;107240;112380;125364;127102;120100;113191;116106;117922;117471;116137;126466;121147;131500;124779;107409;134669;127293;119556;123950;129789;116537;113206;117010;119629;110699;126739;127400;127400;123702;124378
Asalariado;Rango de ingreso;No especificado;119760;139991;169162;290128;175512;135537;148166;134925;141264;160896;126350;128645;100835;137821;163799;179704;154783;147515;139587;127910;134148;129776;137156;120313;116616;136354;150449;164679;163798;142779;138209;149454;151145;175290;156058;152933;152933;135748;159921
Independiente;Total;Total;411707;385870;377205;367841;376276;371722;399299;410007;431086;424597;447954;461809;481143;483164;467849;451785;448466;456479;448897;471572;433575;438634;401756;413314;424586;455102;449277;476603;468529;437767;451035;525308;490748;513697;501839;552356;552356;544381;541856
Independiente;Tipo de establecimiento;Empresa en sociedad y cuasi sociedad;123146;105464;103004;114906;121181;127497;129700;129551;126629;104953;123866;97526;107337;100041;115697;72901;78615;66215;60530;59927;60400;71868;69139;67518;67042;56134;63268;63016;46936;52346;48325;57989;47488;46107;35986;36870;36870;39483;37171
Independiente;Tipo de establecimiento;Empresa no constituido en sociedad;288561;280406;274201;252935;255095;244225;269599;280456;304457;319644;324088;364283;373806;383123;352152;378884;369851;390264;388367;411645;373175;366766;332617;345796;357544;398968;386009;413587;421593;385421;402710;467319;443260;467590;465853;515486;515486;504898;504685
Independiente;Condición de aseguramiento;No tiene seguro por trabajo;223681;198522;172465;167101;173747;175183;196742;218495;233278;208210;228443;223745;243770;257994;238052;243891;239188;233738;229519;255044;234591;233937;205270;202962;197559;227680;221340;239212;239412;233071;248775;284216;271294;293856;279367;297580;297580;301722;308804
Independiente;Condición de aseguramiento;Tiene seguro por trabajo;188026;187348;204740;200740;202529;196539;202557;191512;197808;216387;219511;238064;237373;225170;229797;207894;209278;222741;219378;216528;198984;204697;196486;210352;227027;227422;227937;237391;229117;204696;202260;241092;219454;219841;222472;254776;254776;242659;233052
Independiente;Grupo de horas efectivas trabajadas;Menos de 15;55298;47130;33978;33640;34250;36286;43056;49973;47156;43508;46795;64033;74324;78335;70433;72876;72934;85869;66835;77298;67177;70632;49423;48254;47100;62918;44562;61666;65892;59614;65384;78315;72886;68854;67362;78971;78971;67823;84309
Independiente;Grupo de horas efectivas trabajadas;De 15 a 39;116437;105721;100662;81471;97322;94512;110930;124006;124056;119781;122445;125719;148712;141766;139884;138160;138716;127343;136933;147022;128076;128159;115092;110930;116636;131670;129617;158829;164019;140192;144980;195682;174204;188624;172344;211583;211583;221109;206370
Independiente;Grupo de horas efectivas trabajadas;De 40 a 48;73124;73107;98077;107615;107981;96704;100502;97405;107814;115817;117609;118628;106614;102484;98053;108500;90766;104884;102948;107718;96648;102155;95869;108749;109235;103994;120945;116493;95273;93344;102980;106336;104658;100498;117353;111314;111314;97070;106247
Independiente;Grupo de horas efectivas trabajadas;Más de 48;165136;158559;143493;142443;136396;144074;144811;138623;152060;145300;161105;152170;151254;160579;159479;131095;145944;137351;142111;137862;141575;137688;140556;145381;151415;156520;153263;138755;142264;144509;136623;144975;138911;155485;144401;150222;150222;158379;144804
Independiente;Grupo de horas efectivas trabajadas;No especificado;1712;1353;995;2672;327;146;0;0;0;191;0;1259;239;0;0;1154;106;1032;70;1672;99;0;816;0;200;0;890;860;1081;108;1068;0;89;236;379;266;266;0;126
Independiente;Principales ramas de actividad;Comercio y reparación;123334;103844;106369;112833;107846;107279;109470;99768;113488;121104;110534;121749;122791;127671;130302;106266;113081;104055;99889;99435;87789;99851;85960;96006;97268;109578;106169;104972;110656;86413;89250;97613;88490;104749;93875;98622;98622;95213;94381
Independiente;Principales ramas de actividad;Agricultura, ganadería y pesca;43456;44834;50257;49084;50602;49859;50356;46066;50621;50271;45257;52673;50622;53009;47361;55982;57242;69925;67731;65564;70060;66321;63761;60037;64431;70770;70749;76222;81417;77969;65529;66173;72174;68957;67947;66387;66387;72175;71883
Independiente;Principales ramas de actividad;Industria manufacturera;52153;55671;37823;37175;35931;37824;43896;42275;41669;47732;37681;48950;40115;35656;37748;30948;40857;47761;46502;50655;53276;41397;41061;42030;37672;50266;49582;45478;44045;44585;48926;55910;53376;52583;48617;57500;57500;53301;59173
Independiente;Principales ramas de actividad;Otros;192764;181521;182756;168749;181897;176760;195577;221898;225308;205490;254482;238437;267615;266828;252438;258589;237286;234738;234775;255918;222450;231065;210974;215241;225215;224488;222777;249931;232411;228800;247330;305612;276708;287408;291400;329847;329847;323692;316419
Independiente;Rango de ingreso;Menos de 1 salario mínimo;165652;132171;129889;124178;158858;163757;184147;191237;190858;195938;192566;204154;209313;204899;183520;183079;182989;181412;193161;208292;203357;213149;183222;209917;201230;210142;194212;200040;223329;208036;202391;235182;230696;247569;233474;271357;271357;284792;270835
Independiente;Rango de ingreso;De 1 a menos de 2 salarios mínimos;97316;101960;102223;71093;72420;77524;93983;83897;101157;104949;111942;120650;129217;123783;114652;101156;117448;108025;100941;117966;108104;108540;118949;107859;119571;120365;119757;146355;133699;119547;137847;157149;148330;156329;155347;164773;164773;146316;160014
Independiente;Rango de ingreso;De 2 a menos de 5 salarios mínimos;71700;67840;57033;50872;54886;57092;52869;61000;58227;51539;58095;65466;82293;66214;73990;66075;57417;64436;71391;81038;73943;65542;54486;58453;62316;68441;77091;73848;62782;64932;78011;92051;70577;75284;76813;79818;79818;83616;79017
Independiente;Rango de ingreso;5 salarios mínimos o más;32480;35223;30410;21390;18014;21094;13114;18046;15558;19282;21168;21942;17773;22951;30708;27151;27026;21999;23602;28774;20649;25280;23399;20024;21136;24273;28961;22487;24819;23724;17985;28493;18916;20537;23450;22824;22824;16763;15606
Independiente;Rango de ingreso;No especificado;44559;48676;57650;100308;72098;52255;55186;55827;65286;52889;64183;49597;42547;65317;64979;74324;63586;80607;59802;35502;27522;26123;21700;17061;20333;31881;29256;33873;23900;21528;14801;12433;22229;13978;12755;13584;13584;12894;16384
